,time,age,state,gender,occupation,covid_stress,living_with,contacts,covid_info_time,P1,P2,P3,P4,P6,P5a,P5b,P5c,P5d,P5e,P5f,P5g,P5h,P5i,P5j,P7,P8,P9,G1,G2,G3,G4,G5,G6,G7,12grade_nextstep,12grade_choices ,12grade_W1,12grade_W2,12grade_W3,12grade_W4,12grade_W5,12grade_W6,emp_salary_cut,emp_travel,emp_transport,emp_personal_life,emp_pressure,emp_workplace,emp_workflow ,emp_layoffs,emp_fear,emp_screening,emp_canteen,emp_children,emp_body ,emp_preference,emp_performance,unemp_reason,unemp_newjob,unemp_support,unemp_borrow,school_grade,school_hours,school_focus ,school_parents_monitor,school_parents_involve,school_S1 ,school_S2,school_S3,school_S4,school_S5,school_S6,school_S7,school_S8,school_S9,school_S10,school_S11,school_S12,school_S13,school_tuition,school_body,school_rating,college_type,college_focus ,college_parents_monitor ,college_parents_involve,college_S1,college_S2,college_S14,college_S3,college_S4,college_S5,college_S15,college_S7,college_S6,college_S8,college_S9,college_S10,college_S11,college_S12,college_S13,college_hours,college_wakeup,college_rating,college_body,healthcare_contact,healthcare_extra_hours,healthcare_ppe,healthcare_stay,healthcare_mistreat,healthcare_career_risk,healthcare_salary_cut,healthcare_perks,healthcare_food,healthcare_shifts,healthcare_benifits,healthcare_regret,finalyear_plan,finalyear_hours,finalyear_change,finalyear_placements_virtual,finalyear_ms_choices,finalyear_ms_uncertain,finalyear_ms_anxious,finalyear_confidence,finalyear_placements_number,finalyear_S1,finalyear_S2,finalyear_S14,finalyear_S3,finalyear_S4,finalyear_S5,finalyear_S15,finalyear_S7,finalyear_S6,finalyear_S8,finalyear_S9,finalyear_S10,finalyear_S11,finalyear_S12,finalyear_S13,home_workload,home_sharing,home_hustle,home_financial_constraints,home_privacy,home_children,old_delivery,old_status,old_govt_benefits,old_friends,old_entertainment,old_medical_reviews,old_dependent,old_tech,healthcare_type,gad7
10,8/31/2020 12:33:21,33.0,Tamil Nadu,Male,Working Professional,Medium,No,Yes. And it is worrying.,<1 hour/day,10:30:00 AM,15.0,6:30:00 AM,7.0,Fairly good,Less than once a week,Less than once a week,Once or twice a week,Not during the past month,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Once or twice a week.,Less than once a week.,Once or twice a week.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,No,We work from home.,No,Yes,Yes,Yes,No,No,0.0,We work from Home.,5.0,0.0,Yes,Working from home.,It's the same as before.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,8/31/2020 12:37:51,19.0,Tamil Nadu,Female,Student in college but not final year.,Medium,No,No.,<1 hour/day,12:00:00 PM,20.0,7:45:00 AM,7.0,Fairly Bad,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month.,Not during the past month.,Three or more times a week.,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering 3rd year,No,No,They are not involved at all.,Low,Low,Low,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,12.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
12,8/31/2020 12:41:53,19.0,Tamil Nadu,Male,Student in college but not final year.,Medium,No,Yes. And it is worrying.,<1 hour/day,12:00:00 AM,10.0,7:00:00 AM,7.0,Very good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Several days,Several days,Several days,Several days,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd year,No,No,They are not involved at all.,,Low,Very Low,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,40.0,Most of the time.,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
13,8/31/2020 13:05:40,23.0,Tamil Nadu,Male,Currently Unemployed,Low,No,Yes. And it is worrying.,<1 hour/day,4:00:00 AM,10.0,8:00:00 AM,4.0,Fairly good,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,Several days,Several days,Not at all,More than half the days,Not at all,More than half the days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,No.,5.0,Yes.,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
14,8/31/2020 13:07:55,19.0,Tamil Nadu,Female,Student in college but not final year.,Medium,No,No.,1-2 hours/day,12:00:00 AM,45.0,7:00:00 AM,5.0,Fairly good,Three or more times a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month.,Once or twice a week.,Three or more times a week.,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mechanical,No,No,They interfere a lot more now. And I don't like it.,,Very Low,Very Low,Very Low,,Low,Low,Medium,Very High,Very High,Very High,Very High,Medium,Very High,Very High,20.0,Everyday.,4.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
15,8/31/2020 13:11:47,19.0,Tamil Nadu,Female,Student in college but not final year.,Medium,No,No.,<1 hour/day,3:30:00 AM,10.0,7:15:00 AM,4.0,Fairly Bad,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Three or more times a week.,More than half the days,Several days,Several days,More than half the days,Not at all,Nearly every day,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering ,No,No,They are not involved at all.,Low,Low,Low,Very High,Low,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very Low,Low,Very High,42.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
16,8/31/2020 13:18:54,19.0,Tamil Nadu,Male,Student in college but not final year.,Medium,No,No.,<1 hour/day,10:00:00 PM,10.0,6:00:00 AM,7.0,Fairly Bad,Less than once a week,Once or twice a week,Three or more times a week,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Less than once a week.,Once or twice a week.,Several days,Several days,Several days,Several days,Nearly every day,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software engineering ,Yes,Yes,They are not involved at all.,,Very Low,High,Very Low,,Very Low,High,High,Very Low,High,High,High,High,High,High,40.0,Everyday.,2.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
17,8/31/2020 13:28:50,19.0,Tamil Nadu,Female,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,11:00:00 PM,30.0,7:30:00 AM,8.0,Fairly good,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Several days,Several days,Several days,More than half the days,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering ,No,Yes,They are not involved at all.,Medium,Very High,Medium,High,Medium,Medium,Medium,High,Medium,Medium,High,Very High,High,High,Low,30.0,Everyday.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
18,8/31/2020 13:28:57,21.0,Tamil Nadu,Female,Student in Final Year of College,Medium,No,Yes. And it is worrying.,<1 hour/day,10:45:00 PM,20.0,7:00:00 AM,8.0,Fairly Bad,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Three or more times a week,Once or twice a week,Not during the past month,Less than once a week.,Less than once a week.,Once or twice a week.,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher studies in India,4.0,No,Normal process is better.,,,,5.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
19,8/31/2020 13:29:50,21.0,Gujarat,Male,Student in Final Year of College,Low,No,Yes. And it is worrying.,<1 hour/day,12:30:00 AM,60.0,8:00:00 AM,6.0,Fairly good,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher studies outside India,14.0,Yes,,Yes,Yes. I might have to postpone applications to 2022/ the intake next year.,Yes,4.0,No,,,High,High,High,High,High,High,High,High,High,High,High,High,High,,,,,,,,,,,,,,,,0
20,8/31/2020 13:30:06,19.0,Tamil Nadu,Male,Student in college but not final year.,Low,No,Yes. And it is worrying.,<1 hour/day,12:30:00 AM,10.0,7:30:00 AM,7.0,Very good,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronics and computer engineering ,Yes,No,They are not involved at all.,,Very Low,Low,Very Low,,Very Low,Very Low,Medium,Very Low,Medium,High,Very High,Medium,High,Very High,24.0,Everyday.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
21,8/31/2020 13:30:46,19.0,West Bengal,Female,Student in college but not final year.,Medium,No,Yes. And it is worrying.,<1 hour/day,12:00:00 AM,30.0,6:00:00 AM,6.0,Fairly good,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Three or more times a week,Less than once a week,Three or more times a week,Not during the past month,Less than once a week.,Less than once a week.,Not during the past month.,Several days,Several days,Several days,Several days,Nearly every day,Not at all,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Btech eee with cse minor,Yes,No,They are not involved at all.,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,Low,High,Medium,Low,High,38.0,Everyday.,4.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
22,8/31/2020 13:33:16,20.0,Tamil Nadu,Female,Student in Final Year of College,Medium,No,Yes. But I am not fazed by it.,<1 hour/day,1:30:00 AM,5.0,10:30:00 AM,9.0,Very good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,Several days,Not at all,Several days,More than half the days,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),3.0,Yes,Normal process is better.,,Yes. I might have to postpone applications to 2022/ the intake next year.,,1.0,No,,Very Low,,,,Very Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,Very Low,,,,,,,,,,,,,,,,4
23,8/31/2020 13:33:40,21.0,Uttar Pradesh,Male,Student in Final Year of College,Medium,Yes,No.,<1 hour/day,5:00:00 AM,15.0,11:00:00 AM,5.0,Fairly good,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Less than once a week.,Less than once a week.,Several days,Several days,Several days,Several days,More than half the days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),5.0,No,There is no difference,,,,2.0,Yes,Medium,Medium,Very Low,Low,Low,Medium,Medium,Medium,Low,Medium,Very High,Very High,High,Medium,Medium,,,,,,,,,,,,,,,,10
24,8/31/2020 13:36:56,18.0,Maharashtra,Female,Student in college but not final year.,Medium,No,Yes. And it is worrying.,<1 hour/day,10:30:00 PM,5.0,7:00:00 AM,9.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,Several days,Several days,Several days,Several days,Not at all,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer science engineering,Yes,No,"Yes, they complement it. And I feel positive about it.",Very Low,Very Low,Very Low,Low,Low,Low,Low,High,Medium,Very Low,High,Very High,High,Very High,Very High,11.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
25,8/31/2020 13:38:23,21.0,Delhi,Female,Student in Final Year of College,Medium,Yes,No.,<1 hour/day,2:00:00 AM,40.0,10:00:00 AM,7.0,Fairly Bad,Three or more times a week,Three or more times a week,Not during the past month,Less than once a week,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month.,Three or more times a week.,Three or more times a week.,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,100.0,Yes,Normal process is better.,Yes,Yes. I might have to postpone applications to 2022/ the intake next year.,Yes,5.0,Yes,High,Very High,Very High,High,High,Very High,Very High,High,High,Very High,Very High,Very High,Very High,Very High,Very High,,,,,,,,,,,,,,,,21
26,8/31/2020 13:38:32,21.0,Delhi,Male,Student in Final Year of College,Medium,Yes,No.,<1 hour/day,10:00:00 PM,60.0,7:00:00 AM,6.0,Fairly Bad,Three or more times a week,Less than once a week,Less than once a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Three or more times a week.,Not during the past month.,Three or more times a week.,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,More than half the days,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),15.0,No,Normal process is better.,,,,5.0,Yes,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very High,Very Low,Very High,Very High,Very Low,Very Low,Very High,,,,,,,,,,,,,,,,16
27,8/31/2020 13:40:10,22.0,Gujarat,Female,Student in Final Year of College,Medium,No,No.,<1 hour/day,1:00:00 AM,30.0,10:00:00 AM,7.0,Fairly Bad,Once or twice a week,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,More than half the days,More than half the days,More than half the days,More than half the days,Several days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),9.0,No,There is no difference,Yes,Yes. I might have to postpone applications to the next semester.,Yes,1.0,Yes,Very Low,Very Low,Medium,Medium,Low,Low,Low,Low,Very Low,Very Low,Medium,High,Very Low,Very Low,Very Low,,,,,,,,,,,,,,,,13
